assemble_ai,assemble_flops,assemble_time,bytes,cell_type,cols,degree,dimension,matmult_flops,matmult_time,matvec_ai,mesh_size,nonzeros,num_processes,problem,rows,type
1.55966640172,20813985874.0,0.572747945786,9312634880.0,simplex,14414404,1,2,1034308828.0,0.0432708442211,0.120049846513,2880000,524361616.0,48,Rayleigh-Benard,14414404,aij
0,0.0,0.000164985656738,474331136,simplex,14414404,1,2,4458248070.0,0.0393806219101,4.49826412384,2880000,0,48,Rayleigh-Benard,14414404,matfree
1.55966640172,20813985874.0,0.367329835892,9201114792.0,simplex,14414404,1,2,783686428.0,0.0409794926643,0.13460211061,2880000,524361616.0,48,Rayleigh-Benard,14414404,nest
1.92137858737,44774012094.0,0.921679019928,16185159680.0,simplex,16656004,2,2,1873200028.0,0.0698172390461,0.121780119558,1280000,944928016.0,48,Rayleigh-Benard,16656004,aij
0,0.0,0.000172853469849,553649280,simplex,16656004,2,2,8015419090.0,0.0512246847153,8.99305689506,1280000,0,48,Rayleigh-Benard,16656004,matfree
1.92137858737,44774012094.0,0.559458017349,15600129192.0,simplex,16656004,2,2,1498080028.0,0.0692636966705,0.135752781872,1280000,944928016.0,48,Rayleigh-Benard,16656004,nest
2.99723052209,73934245143.0,0.972894906998,16982151680.0,simplex,12514004,3,2,2010102028.0,0.0711629986763,0.12272214005,500000,1011308016.0,48,Rayleigh-Benard,12514004,aij
0,0.0,0.000164985656738,424529984,simplex,12514004,3,2,9259216351.0,0.0488053023815,15.5264250175,500000,0,48,Rayleigh-Benard,12514004,matfree
2.99723052209,73934245143.0,0.656271934509,16073716392.0,simplex,12514004,3,2,1646520028.0,0.0726070523262,0.136724877728,500000,1011308016.0,48,Rayleigh-Benard,12514004,nest
5.40583416772,1.87497649878e+11,1.4986269474,23712839680.0,simplex,13134404,4,2,2845854428.0,0.0940014600754,0.123300643452,320000,1429494416.0,48,Rayleigh-Benard,13134404,aij
0,0.0,0.0001540184021,450778496,simplex,13134404,4,2,17209894632.0,0.0788032591343,29.3384559966,320000,0,48,Rayleigh-Benard,13134404,matfree
5.40583416772,1.87497649878e+11,1.11082696915,22163719592.0,simplex,13134404,4,2,2362876828.0,0.09935374856,0.137392705518,320000,1429494416.0,48,Rayleigh-Benard,13134404,nest
7.46996665517,2.7767436561e+11,4.29975914955,24914718928.0,simplex,13582725,1,3,2992054445.0,0.127910774946,0.123328011299,3072000,1502818585.0,48,Rayleigh-Benard,13582725,aij
