assemble_ai,assemble_flops,assemble_time,bytes,cell_type,cols,degree,dimension,matmult_flops,matmult_time,matvec_ai,mesh_size,nonzeros,num_processes,problem,rows,type
7.08477386629,67779571692.0,0.436833143234,6776667728.0,simplex,9740641,6,2,759376801.0,0.0255284070969,0.120424576897,540800,384558721.0,48,Poisson,9740641,aij
0,0.0,0.000425100326538,328375776,simplex,9740641,6,2,4932683924.0,0.0285195708275,9.99781814293,540800,0,48,Poisson,9740641,matfree
9.42788431927,1.39623045221e+11,0.737504959106,10389783248.0,simplex,12257001,7,2,1188369001.0,0.0391149699688,0.121285448117,500000,600313001.0,48,Poisson,12257001,aij
0,0.0,0.000378131866455,414386080,simplex,12257001,7,2,7874886921.0,0.0427074611187,13.1646556819,500000,0,48,Poisson,12257001,matfree
1.98380865979,15410349570.0,0.69702911377,2453514448.0,simplex,8120601,1,3,233563001.0,0.0148313701153,0.11355373813,48000000,120841801.0,48,Poisson,8120601,aij
0,0.0,0.000287055969238,296645696,simplex,8120601,1,3,6971348615.0,0.0672929108143,1.39488658425,48000000,0,48,Poisson,8120601,matfree
3.43534699468,23342735052.0,0.760586977005,4222164048.0,simplex,8120601,2,3,454644201.0,0.0199395895004,0.118748595655,6000000,231382401.0,48,Poisson,8120601,aij
0,0.0,0.000314950942993,321740640,simplex,8120601,2,3,5023390785.0,0.0392188131809,3.66237350681,6000000,0,48,Poisson,8120601,matfree
8.41418812074,1.46291056848e+11,1.69311213493,11682939728.0,simplex,13997521,3,3,1334348881.0,0.0558351159096,0.121224611043,3072000,674173201.0,48,Poisson,13997521,aij
0,0.0,0.000300884246826,572521024,simplex,13997521,3,3,15127928730.0,0.0782945454121,10.5786819794,3072000,0,48,Poisson,13997521,matfree
12.4563419675,3.2373831748e+11,2.3337790966,17632954448.0,simplex,13997521,4,3,2078100721.0,0.0760897278786,0.122540371589,1296000,1046049121.0,48,Poisson,13997521,aij
0,0.0,0.000305891036987,607293184,simplex,13997521,4,3,18902153650.0,0.0962653160095,17.0501640162,1296000,0,48,Poisson,13997521,matfree
60.2295192035,2.54712537892e+12,6.92050909996,28655459248.0,simplex,15813251,5,3,3439572251.0,0.114839100838,0.123307089651,750000,1727692751.0,48,Poisson,15813251,aij
0,0.0,0.00032901763916,718250176,simplex,15813251,5,3,92112982430.0,0.380633097887,85.3924554586,750000,0,48,Poisson,15813251,matfree
0.569949958551,1961342830.0,0.124863862991,1803284048.0,simplex,10246401,1,2,133152001.0,0.00745749473572,0.102934689207,20480000,71699201.0,48,Poisson,10246401,aij
0,0.0,0.0003981590271,331865920,simplex,10246401,1,2,990994272.0,0.0118098974228,0.525889321129,20480000,0,48,Poisson,10246401,matfree
0.880240629284,3137386086.0,0.127920866013,2540666448.0,simplex,10246401,2,2,225324801.0,0.0108805060387,0.110571722686,5120000,117785601.0,48,Poisson,10246401,aij
0,0.0,0.000411033630371,334528192,simplex,10246401,2,2,1097824982.0,0.0119461476803,1.21801256692,5120000,0,48,Poisson,10246401,matfree
1.41660545643,8422116156.0,0.223945140839,4355924048.0,simplex,12967201,3,2,427744801.0,0.01932913661,0.114861212601,2880000,220356001.0,48,Poisson,12967201,aij
0,0.0,0.000439882278442,425499264,simplex,12967201,3,2,1759757324.0,0.0201895177364,2.03625831573,2880000,0,48,Poisson,12967201,matfree
2.56803113308,15938327160.0,0.258267879486,4506951248.0,simplex,10246401,4,2,471110401.0,0.0197200477123,0.117496718706,1280000,240678401.0,48,Poisson,10246401,aij
0,0.0,0.000420093536377,339872896,simplex,10246401,4,2,2193832760.0,0.0195510268211,3.69270420208,1280000,0,48,Poisson,10246401,matfree
